Author,Link
D. Buono,http://cs.iit.edu/~scs/assets/files/haider_2018.pdf
D. Fan,http://cs.iit.edu/~scs/assets/files/zou2024skyway.pdf
D. Georgakopoulos,http://cs.iit.edu/~scs/assets/files/auto_provision_tcc15.pdf
D. Jin,http://publish.illinois.edu/science-of-security-lablet/files/2014/05/A-Modeling-and-Simulation-of-Extreme-Scale-Fat-Tree-Networks-for-HPC-Systems-and-Data-Centers.pdf
D. Kimpe,http://cs.iit.edu/~scs/assets/files/TPDS2016-dongfang.pdf
D. Li,https://dl.acm.org/ft_gateway.cfm?id=2968457&type=pdf
D. Morozov,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
D. Ren,https://www.mcs.anl.gov/events/workshops/p2s2/2012/slides/p2s2-2012-Tang-adaptive-sched-pres.pdf
D. Wang,http://cs.iit.edu/~scs/assets/files/APC_TC.pdf
D. Zhao,http://cs.iit.edu/~scs/assets/files/TPDS2016-dongfang.pdf
E. Berrocal,https://pdfs.semanticscholar.org/19d6/86007a37f599b850bfbca391a5d7d869def8.pdf
E.-S. Jun,https://www.mcs.anl.gov/~kettimut/publications/BigData16.pdf
F. Cappello,https://pdfs.semanticscholar.org/19d6/86007a37f599b850bfbca391a5d7d869def8.pdf
F. Checconi,http://cs.iit.edu/~scs/assets/files/haider_2018.pdf
F. Liang,http://cs.iit.edu/~scs/assets/files/LCIndex.pdf
G. Chen,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
G. Eisenhauer,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
G. Gibson,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
G. Grider,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
G. Heber,http://cs.iit.edu/~scs/assets/files/rajesh2020characterizing-poster.pdf
G. Wang,http://cs.iit.edu/~scs/assets/files/auto_provision_tcc15.pdf
H. Che,http://cs.iit.edu/~scs/assets/files/OED_DataCloud17.pdf
H. Devarajan,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
H. Eslami,http://cs.iit.edu/~scs/assets/files/Anthony_kvstore_journal.pdf
H. Jin,http://link.springer.com/chapter/10.1007/978-1-4939-2092-1_18
H. Lee,http://cs.iit.edu/~scs/assets/files/lee2023data.pdf
H. Najafi,http://cs.iit.edu/~scs/assets/files/lu2024chrome.pdf
H. Song,http://cs.iit.edu/~scs/assets/files/dang2024pmalloc.pdf
H. Tang,http://cs.iit.edu/~scs/assets/files/rajesh2021features_poster.pdf
H. Trivino,http://cs.iit.edu/~scs/assets/files/cernuda2019eviction.pdf
H. Zheng,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
H. Zhu,http://cs.iit.edu/~scs/assets/files/data_prefetcher.pdf
H. Zou,http://cs.iit.edu/~scs/assets/files/ipdps12-zou.pdf
I. Raicu,http://cs.iit.edu/~scs/assets/files/TPDS2016-dongfang.pdf
I. Sadooghi,https://ieeexplore.ieee.org/iel7/7307300/7307539/07307589.pdf
I. Yildirim,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
J. Bent,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
J. Brandt,http://cs.iit.edu/~scs/assets/files/DSN12.pdf
J. Cernuda,http://cs.iit.edu/~scs/assets/files/cernuda2024jarvis.pdf
J. Firoz,http://cs.iit.edu/~scs/assets/files/lee2023data.pdf
J. He,http://cs.iit.edu/~scs/assets/files/jun_hpdc13.pdf
J. Jenkins,http://mypages.iit.edu/~xyang56/papers/sc16-bully.pdf
J. Ji,http://cs.iit.edu/~scs/assets/files/jin_icpp_12.pdf
J. L. Bez,http://cs.iit.edu/~scs/assets/files/rajesh2024tunio.pdf
J. Li,http://cs.iit.edu/~scs/assets/files/yanlong_ipdps13.pdf
J. Liu,http://cs.iit.edu/~scs/assets/files/lu2024chrome.pdf
J. Lofstead,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
J. Wang,https://ieeexplore.ieee.org/iel7/7307300/7307539/07307592.pdf
J. Wu,https://link.springer.com/article/10.1007/s11227-014-1324-5
J. Ye,http://cs.iit.edu/~scs/assets/files/ye2024kvcache_poster.pdf
J. Zhou,http://cs.iit.edu/~scs/assets/files/he2019holicTPDs.pdf
J. Zhu,http://cs.iit.edu/~scs/assets/files/wu2024autohet.pdf
J.-S. Yeom,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
K. Bateman,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
K. Feng,http://cs.iit.edu/~scs/assets/files/NIOBE_PDF_A.pdf
K. Mohror,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
K. Velusamy,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
K. Wang,https://ieeexplore.ieee.org/iel7/7307300/7307539/07307589.pdf
L. Bautista-Gomez,https://pdfs.semanticscholar.org/19d6/86007a37f599b850bfbca391a5d7d869def8.pdf
L. Dulac,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
L. Guo,http://cs.iit.edu/~scs/assets/files/tang2024dayu.pdf
L. Logan,http://cs.iit.edu/~scs/assets/files/cernuda2024jarvis.pdf
L. Pottier,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
L. Schneidenbach,http://cs.iit.edu/~scs/assets/files/haider_2018.pdf
L. Shou,http://cs.iit.edu/~scs/assets/files/pan2024bipartite.pdf
L. Wang,http://cs.iit.edu/~scs/assets/files/auto_provision_tcc15.pdf
L. Yan,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
L. Yu,https://ieeexplore.ieee.org/iel7/12/7079452/06798722.pdf
M. Dorier,http://cs.iit.edu/~scs/assets/files/eScience16.pdf
M. E. Papka,http://www.cs.iit.edu/~lan/publications/sc13_final.pdf
M. G. Venkata,http://cs.iit.edu/~scs/assets/files/fastfit.pdf
M. Kotsifakou,https://dl.acm.org/ft_gateway.cfm?ftid=1643727&id=2831249
M. Lang,https://ieeexplore.ieee.org/iel7/7307300/7307539/07307589.pdf
M. Mubarak,http://cs.iit.edu/~scs/assets/files/xingwang_ipdps2018.pdf
M. Papka,http://www.cs.iit.edu/~zlan/publications/cluster17_final.pdf
M. Song,http://cs.iit.edu/~scs/assets/files/pan2024bipartite.pdf
M. Tang,http://cs.iit.edu/~scs/assets/files/tang2024dayu.pdf
M. Zhang,http://cs.iit.edu/~scs/assets/files/zou2024skyway.pdf
M. Zou,http://cs.iit.edu/~scs/assets/files/zou2024skyway.pdf
N. Desai,http://cs.iit.edu/~scs/assets/files/TPDS2016-shuibing-02.pdf
N. Gnedin,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.713.5156&rep=rep1&type=pdf
N. Lewis,http://cs.iit.edu/~scs/assets/files/cernuda2024jarvis.pdf
N. Liu,http://publish.illinois.edu/science-of-security-lablet/files/2014/05/A-Modeling-and-Simulation-of-Extreme-Scale-Fat-Tree-Networks-for-HPC-Systems-and-Data-Centers.pdf
N. Podhorszki,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
N. Rajesh,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
N. Tallent,http://cs.iit.edu/~scs/assets/files/tang2024dayu.pdf
N. Zhang,http://cs.iit.edu/~scs/assets/files/ning2020dismemsys.pdf
O. Kogiou,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
O. Yildiz,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
P. Challa,http://cs.iit.edu/~scs/assets/files/devarajan2018vidya_paper.pdf
P. Chen,http://cs.iit.edu/~scs/assets/files/wu2024autohet.pdf
P. Espina,http://cs.iit.edu/~scs/assets/files/liu2021study.pdf
P. Hong,http://cs.iit.edu/~scs/assets/files/dang2024pmalloc.pdf
P. Rich,http://www.cs.iit.edu/~zlan/publications/cluster17_final.pdf
P. Widener,http://cs.iit.edu/~scs/assets/files/logan2021pmemcpy_poster.pdf
Q. Gong,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
Q. Koziol,http://cs.iit.edu/~scs/assets/files/rajesh2021features_poster.pdf
R. Brightwell,https://dl.acm.org/citation.cfm?id=3158212
R. Ge,http://cs.iit.edu/~scs/assets/files/ccgrid12-ge.pdf
R. Kettimuthu,https://www.mcs.anl.gov/~kettimut/publications/BigData16.pdf
R. Latham,http://cs.iit.edu/~scs/assets/files/eScience16.pdf
R. Ranjan,http://cs.iit.edu/~scs/assets/files/auto_provision_tcc15.pdf
R. Ross,http://cs.iit.edu/~scs/assets/files/xingwang_ipdps2018.pdf
R. Thakur,http://cs.iit.edu/~scs/assets/files/Anthony_kvstore_journal.pdf
R. Wang,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
S. Byna,http://cs.iit.edu/~scs/assets/files/cernuda2024jarvis.pdf
S. Chen,http://cs.iit.edu/~scs/assets/files/chen2022accelerating.pdf
S. Coghlan,http://cs.iit.edu/~scs/assets/files/Wallace_SC_16.pdf
S. Di,https://pdfs.semanticscholar.org/19d6/86007a37f599b850bfbca391a5d7d869def8.pdf
S. He,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
S. Herbein,http://cs.iit.edu/~scs/assets/files/bateman2022luxio.pdf
S. Hu,http://cs.iit.edu/~scs/assets/files/chen2023icache.pdf
S. Klasky,http://cs.iit.edu/~scs/assets/files/gainaru2024derive.pdf
S. Levy,http://cs.iit.edu/~scs/assets/files/logan2021pmemcpy_poster.pdf
S. Liu,https://www.mcs.anl.gov/~kettimut/publications/BigData16.pdf
S. Ma,http://cs.iit.edu/~scs/assets/files/ipdps12-zou.pdf
S. Song,http://cs.iit.edu/~scs/assets/files/C-AMAT_GPGPU.pdf
S. Wallace,http://cs.iit.edu/~scs/assets/files/Wallace_SC_16.pdf
S. Wang,https://dl.acm.org/ft_gateway.cfm?id=2968457&type=pdf
S. Xu,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
S. Yang,http://cs.iit.edu/~scs/assets/files/wu2024autohet.pdf
S. Yao,https://dl.acm.org/ft_gateway.cfm?id=2968457&type=pdf
S. Zhou,http://cs.iit.edu/~scs/assets/files/SciDP_Kun2018.pdf
T. Jones,http://mypages.iit.edu/~lyu17/papers/icac.pdf
T. Kasampalis,https://dl.acm.org/ft_gateway.cfm?ftid=1643727&id=2831249
T. Matsui,http://cs.iit.edu/~scs/assets/files/framework_zhou.pdf
T. Peterka,http://cs.iit.edu/~scs/assets/files/ye2024viper.pdf
T. Wu,http://cs.iit.edu/~scs/assets/files/wu2024autohet.pdf
V. Morozov,http://cs.iit.edu/~scs/assets/files/TPDS2016-shuibing-02.pdf
V. Vishwanath,http://cs.iit.edu/~scs/assets/files/stimulus2022.pdf
W. Allcock,http://www.cs.iit.edu/~zlan/publications/cluster17_final.pdf
W. Chen,http://cs.iit.edu/~scs/assets/files/wu2024autohet.pdf
W. D. Gropp,http://cs.iit.edu/~scs/assets/files/Anthony_kvstore_journal.pdf
W. Tang,http://cs.iit.edu/~scs/assets/files/TPDS2016-shuibing-02.pdf
W. Tao,http://cs.iit.edu/~scs/assets/files/framework_zhou.pdf
W. Yang,https://ieeexplore.ieee.org/iel7/7529829/7536347/07536575.pdf
W. Yu,http://cs.iit.edu/~scs/assets/files/devarajan2024dftracer.pdf
W. Zhang,http://cs.iit.edu/~scs/assets/files/baoyu.pdf
X. Chen,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
X. Duan,http://cs.iit.edu/~scs/assets/files/ipdps12-zou.pdf
X. Fan,http://cs.iit.edu/~scs/assets/files/wang2019cost.pdf
X. Feng,http://cs.iit.edu/~scs/assets/files/ccgrid12-ge.pdf
X. Huang,http://cs.iit.edu/~scs/assets/files/shuibing_cluster13.pdf
X. Li,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
X. Lu,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
X. Que,http://cs.iit.edu/~scs/assets/files/haider_2018.pdf
X. Wang,http://cs.iit.edu/~scs/assets/files/xingwang_ipdps2018.pdf
X. Xiong,https://link.springer.com/article/10.1007/s11227-014-1324-5
X. Xu,http://cs.iit.edu/~scs/assets/files/he2019holicTPDs.pdf
X. Yang,http://cs.iit.edu/~scs/assets/files/SciDP_Kun2018.pdf
X. Ye,http://cs.iit.edu/~scs/assets/files/zou2024skyway.pdf
X. Zhang,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
X. Zheng,https://ieeexplore.ieee.org/iel7/6957006/6968662/06968751.pdf
X. Zhou,https://ieeexplore.ieee.org/iel7/7307300/7307539/07307589.pdf
X. Zou,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
X.-H. Sun,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
Y. Bao,http://cs.iit.edu/~scs/assets/files/hcda.pdf
Y. Chen,http://cs.iit.edu/~scs/assets/files/he2019holicTPDs.pdf
Y. Cheng,https://dl.acm.org/ft_gateway.cfm?id=2968457&type=pdf
Y. Fan,http://www.cs.iit.edu/~zlan/publications/cluster17_final.pdf
Y. Gao,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
Y. Han,http://cs.iit.edu/~scs/assets/files/yan2024aceminer.pdf
Y. Liu,http://cs.iit.edu/~scs/assets/files/hcda.pdf
Y. Lu,https://dl.acm.org/ft_gateway.cfm?ftid=1643727&id=2831249
Y. Wang,http://cs.iit.edu/~scs/assets/files/hcda.pdf
Y. Xu,http://cs.iit.edu/~scs/assets/files/chen2023icache.pdf
Y. Yan,https://dl.acm.org/citation.cfm?id=3158212
Y. Yin,http://cs.iit.edu/~scs/assets/files/pan2024bipartite.pdf
Y.-H. Liu,http://cs.iit.edu/~scs/assets/files/TOMPECS-liu.pdf
Z. Dang,http://cs.iit.edu/~scs/assets/files/dang2024pmalloc.pdf
Z. Lan,http://cs.iit.edu/~scs/assets/files/xingwang_ipdps2018.pdf
Z. Li,http://cs.iit.edu/~scs/assets/files/dang2024pmalloc.pdf
Z. Pan,http://cs.iit.edu/~scs/assets/files/pan2024ambea.pdf
Z. Tang,http://cs.iit.edu/~scs/assets/files/zou2024skyway.pdf
Z. Xu,http://cs.iit.edu/~scs/assets/files/ISPA2019-ChundianLi.pdf
Z. Ye,http://cs.iit.edu/~scs/assets/files/ye2020sova.pdf
Z. Zheng,https://ieeexplore.ieee.org/iel7/12/7079452/06798722.pdf
Z. Zhou,http://cs.iit.edu/~scs/assets/files/TPDS2016-shuibing-02.pdf
